Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
48.7,-11604.80241,5557.01898,-895.69741,1866.33828,-5077.14256,857.78541,857.72044, 
48.8,-11604.80241,5559.36555,-895.68602,1862.51387,-5078.60901,856.31895,856.25399, 
48.9,-11604.80241,5561.70241,-895.67540,1858.70497,-5080.07043,854.85753,854.79257, 
49.0,-11604.80241,5564.02848,-895.66549,1854.91175,-5081.52767,853.40029,853.33533, 
49.1,-11604.80241,5566.34423,-895.65626,1851.13398,-5082.98045,851.94752,851.88255, 
49.2,-11604.80241,5568.65017,-895.64765,1847.37143,-5084.42847,850.49950,850.43453, 
49.3,-11604.80241,5570.94520,-895.63965,1843.62428,-5085.87257,849.05539,848.99043, 
49.4,-11604.80241,5573.23036,-895.63220,1839.89216,-5087.31208,847.61588,847.55092, 
49.5,-11604.80241,5575.50458,-895.62527,1836.17527,-5088.74783,846.18013,846.11517, 
49.6,-11604.80241,5577.76836,-895.61883,1832.47336,-5090.17952,844.74844,844.68348, 
49.7,-11604.80241,5580.02221,-895.61284,1828.78620,-5091.60684,843.32113,843.25616, 
49.8,-11604.80241,5582.26509,-895.60729,1825.11400,-5093.03061,841.89736,841.83239, 
49.9,-11604.80241,5584.49803,-895.60214,1821.45637,-5094.45014,840.47782,840.41286, 
50.0,-11604.80241,5586.72000,-895.59736,1817.81351,-5095.86625,839.06171,838.99675, 
50.1,-11604.80241,5588.93152,-895.59292,1814.18520,-5097.27862,837.64935,837.58438, 
50.2,-11604.80241,5591.13310,-895.58882,1810.57120,-5098.68693,836.24103,836.17607, 
50.3,-11604.80241,5593.32373,-895.58502,1806.97171,-5100.09198,834.83598,834.77102, 
50.4,-11604.80241,5595.50445,-895.58150,1803.38637,-5101.49309,833.43487,833.36991, 
50.5,-11604.80241,5597.67426,-895.57825,1799.81536,-5102.89104,832.03693,831.97196, 
50.6,-11604.80241,5599.83367,-895.57524,1796.25847,-5104.28550,830.64246,830.57750, 
50.7,-11604.80241,5601.98323,-895.57246,1792.71547,-5105.67616,829.25180,829.18684, 
50.8,-11604.80241,5604.12195,-895.56989,1789.18656,-5107.06380,827.86417,827.79920, 
50.9,-11604.80241,5606.25085,-895.56752,1785.67137,-5108.44771,826.48026,826.41529, 
51.0,-11604.80241,5608.36896,-895.56534,1782.17011,-5109.82867,825.09929,825.03433, 
51.1,-11604.80241,5610.47682,-895.56332,1778.68255,-5111.20636,823.72161,823.65664, 
51.2,-11604.80241,5612.57495,-895.56146,1775.20848,-5112.58043,822.34753,822.28257, 
51.3,-11604.80241,5614.66240,-895.55975,1771.74809,-5113.95167,820.97630,820.91133, 
51.4,-11604.80241,5616.74020,-895.55818,1768.30103,-5115.31936,819.60861,819.54364, 
51.5,-11604.80241,5618.80738,-895.55673,1764.86749,-5116.68426,818.24370,818.17874, 
51.6,-11604.80241,5620.86450,-895.55539,1761.44725,-5118.04605,816.88192,816.81695, 
51.7,-11604.80241,5622.91207,-895.55417,1758.04012,-5119.40438,815.52359,815.45862, 
51.8,-11604.80241,5624.94917,-895.55304,1754.64627,-5120.76000,814.16796,814.10300, 
51.9,-11604.80241,5626.97681,-895.55201,1751.26538,-5122.11223,812.81574,812.75077, 
52.0,-11604.80241,5628.99406,-895.55106,1747.89761,-5123.46179,811.46617,811.40121, 
52.1,-11604.80241,5631.00146,-895.55019,1744.54277,-5124.80836,810.11960,810.05464, 
52.2,-11604.80241,5632.99955,-895.54939,1741.20066,-5126.15159,808.77637,808.71141, 
52.3,-11604.80241,5634.98739,-895.54866,1737.87145,-5127.49223,807.43574,807.37077, 
52.4,-11604.80241,5636.96600,-895.54799,1734.55483,-5128.82956,806.09840,806.03344, 
