Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
44.0,-6823.62391,3435.28642,-60.57179,2181.13154,-1267.77775,32.74293,32.88625, 
44.1,-6823.62391,3439.85335,-60.57179,2176.18574,-1268.15661,32.36406,32.50739, 
44.2,-6823.62391,3444.40244,-60.57179,2171.26213,-1268.53113,31.98955,32.13287, 
44.3,-6823.62391,3448.93307,-60.57179,2166.36093,-1268.90170,31.61898,31.76230, 
44.4,-6823.62391,3453.44647,-60.57179,2161.48163,-1269.26760,31.25308,31.39640, 
44.5,-6823.62391,3457.94201,-60.57179,2156.62444,-1269.62925,30.89143,31.03475, 
44.6,-6823.62391,3462.42045,-60.57179,2151.78904,-1269.98621,30.53447,30.67779, 
44.7,-6823.62391,3466.88255,-60.57179,2146.97508,-1270.33807,30.18261,30.32593, 
44.8,-6823.62391,3471.32765,-60.57179,2142.18280,-1270.68525,29.83543,29.97875, 
44.9,-6823.62391,3475.75696,-60.57179,2137.41168,-1271.02706,29.49362,29.63694, 
45.0,-6823.62391,3480.16981,-60.57179,2132.66195,-1271.36395,29.15673,29.30005, 
45.1,-6823.62391,3484.56692,-60.57179,2127.93328,-1271.69551,28.82517,28.96849, 
45.2,-6823.62391,3488.94900,-60.57179,2123.22536,-1272.02135,28.49933,28.64265, 
45.3,-6823.62391,3493.31538,-60.57179,2118.53840,-1272.34193,28.17875,28.32207, 
45.4,-6823.62391,3497.66720,-60.57179,2113.87190,-1272.65660,27.86408,28.00740, 
45.5,-6823.62391,3502.00378,-60.57179,2109.22610,-1272.96582,27.55485,27.69818, 
45.6,-6823.62391,3506.32578,-60.57179,2104.60068,-1273.26924,27.25143,27.39476, 
45.7,-6823.62391,3510.63388,-60.57179,2099.99532,-1273.56650,26.95418,27.09750, 
45.8,-6823.62391,3514.92736,-60.57179,2095.41025,-1273.85809,26.66259,26.80591, 
45.9,-6823.62391,3519.20733,-60.57179,2090.84498,-1274.14339,26.37728,26.52061, 
46.0,-6823.62391,3523.47306,-60.57179,2086.29973,-1274.42291,26.09776,26.24109, 
46.1,-6823.62391,3527.72517,-60.57179,2081.77421,-1274.69633,25.82435,25.96767, 
46.2,-6823.62391,3531.96429,-60.57179,2077.26810,-1274.96331,25.55737,25.70069, 
46.3,-6823.62391,3536.18968,-60.57179,2072.78163,-1275.22440,25.29628,25.43960, 
46.4,-6823.62391,3540.40238,-60.57179,2068.31432,-1275.47900,25.04168,25.18500, 
46.5,-6823.62391,3544.60163,-60.57179,2063.86640,-1275.72767,24.79301,24.93633, 
46.6,-6823.62391,3548.78802,-60.57179,2059.43757,-1275.97011,24.55057,24.69389, 
46.7,-6823.62391,3552.96212,-60.57179,2055.02754,-1276.20604,24.31463,24.45796, 
46.8,-6823.62391,3557.12314,-60.57179,2050.63652,-1276.43603,24.08464,24.22797, 
46.9,-6823.62391,3561.27211,-60.57179,2046.26406,-1276.65953,23.86115,24.00447, 
47.0,-6823.62391,3565.40820,-60.57179,2041.91038,-1276.87712,23.64356,23.78688, 
47.1,-6823.62391,3569.53198,-60.57179,2037.57518,-1277.08855,23.43213,23.57545, 
